user_id,text,favorite_count,retweet_count,created_at
,"RT @BasedMikeLee: Let’s go! 

Wonderful news",0,2325,2025-02-03 23:07:55+00:00
,True https://t.co/G5vv7n1xfk,20777,2578,2025-02-03 23:06:15+00:00
,"RT @thatsKAIZEN: People complaining about the shutdown of corrupt government agencies are fixated on who is solving the problems, while mis…",0,4150,2025-02-03 23:05:34+00:00
,"RT @CollinRugg: NEW: Karoline Leavitt highlights the waste and abuse of USAID, lists the top 4 most insane priorities.

""Here's the reason…",0,8521,2025-02-03 22:50:19+00:00
,"RT @USAO_DC: A Statement from U.S. Attorney for the District of Columbia, Edward R. Martin Jr. https://t.co/XlEmzSlbBq",0,7710,2025-02-03 22:44:56+00:00
,"RT @EagleEdMartin: See something, say something.",0,3438,2025-02-03 22:44:51+00:00
,"RT @WallStreetApes: Just to recap:

- @TheChiefNerd exposed Anthony Fauci’s NIAID and USAID sent over $40M in US taxpayer money to a scient…",0,4951,2025-02-03 21:57:07+00:00
,https://t.co/r8SF9wRtrW,261289,48865,2025-02-03 21:56:14+00:00
,Exactly https://t.co/qQZWZMz4Ox,59413,8632,2025-02-03 21:53:05+00:00
,They have broken the law. https://t.co/KupH9lTOv9,154433,28595,2025-02-03 19:45:02+00:00
,Yes! @MarcoRubio is awesome. https://t.co/jxpJ9BAFdd,140611,20854,2025-02-03 19:36:10+00:00
,That group has been deleted https://t.co/TICeriaLlA,49541,8309,2025-02-03 19:35:26+00:00
,Exactly https://t.co/sCMyIhh92T,143689,20919,2025-02-03 19:34:58+00:00
,@GuntherEagleman So much winning still to come!,3209,294,2025-02-03 19:34:44+00:00
,RT @amuse: DOGE: One of the 'journalists' who decided to doxx members of Trump's DOGE team is a Mashable reporter a couple of years out of…,0,9374,2025-02-03 19:34:01+00:00
,Yes https://t.co/tjRVU6kXjU,28028,2719,2025-02-03 19:33:42+00:00
,Wow https://t.co/aFIKbsL2nJ,70583,17752,2025-02-03 19:33:31+00:00
,She’s a major grifter and hates America https://t.co/fA2YsvGca5,172917,27371,2025-02-03 19:33:12+00:00
,@m_franceschetti @DOGE Thanks!,1281,46,2025-02-03 19:32:03+00:00
,I don’t see them waving any American flags https://t.co/tl8cMSi9vC,68326,7354,2025-02-03 19:31:44+00:00
,Yes https://t.co/GB6FvKBx14,37475,4497,2025-02-03 19:30:50+00:00
,"RT @KanekoaTheGreat: USAID and Fauci funded COVID-19's ""patient zero"" at the Wuhan lab

Truly insane",0,3938,2025-02-03 19:30:26+00:00
,RT @libsoftiktok: 104 DEI contracts totaling over $1B have been cancelled thanks to DOGE https://t.co/YETuqRj3j2,0,12502,2025-02-03 19:30:09+00:00
,Exactly https://t.co/w93Y5NC6PG,55356,8214,2025-02-03 19:30:03+00:00
,RT @HSajwanization: Please get verified on 𝕏 😡,0,295,2025-02-03 19:29:46+00:00
,💯 https://t.co/16w8MUYomb,15240,1638,2025-02-03 19:29:22+00:00
,@EricFrame 😂,3267,62,2025-02-03 19:24:05+00:00
,@AutismCapital 💯😂,1177,69,2025-02-03 19:18:01+00:00
,RT @benhabib6: The @GreatBritishPAC is going to assist our politicians in delivering a proud independent sovereign and prosperous United Ki…,0,857,2025-02-03 19:17:29+00:00
,RT @KanekoaTheGreat: @alrwashdeh_abed Shut it down,0,700,2025-02-03 19:16:21+00:00
,"RT @alrwashdeh_abed: @KanekoaTheGreat That’s my own opinion—&gt; maybe I’m wrong🧐

USAID should be shut down. It’s the largest source of insta…",0,1892,2025-02-03 19:16:21+00:00
,"The corrupt politicians “protesting” outside the USAID building are the ones getting money from USAID. 

That’s why they’re there – they want your stolen tax dollars! https://t.co/5yVDqg0mjw",195826,50170,2025-02-03 19:11:26+00:00
,🇺🇸🇺🇸 https://t.co/rim3JWWQOm,96914,11316,2025-02-03 18:30:04+00:00
,Another description for these types of payments is “money laundering” https://t.co/I2o6IZz98e,86391,16347,2025-02-03 17:48:06+00:00
,@WallStreetApes @DOGE 💯,1236,64,2025-02-03 17:46:58+00:00
,https://t.co/e5igRaty32,88376,22689,2025-02-03 17:46:20+00:00
,Oh well https://t.co/1jpMu55T6s,183581,15880,2025-02-03 17:45:01+00:00
,@DavidSacks Audit the audit too,5856,316,2025-02-03 17:43:31+00:00
,Wow https://t.co/tsIgm8suJb,38605,8419,2025-02-03 17:42:19+00:00
,https://t.co/N9X3SLOLbg https://t.co/YxIdiii2or,20850,3493,2025-02-03 17:42:01+00:00
,@shaunmmaguire 💯,1081,55,2025-02-03 17:17:04+00:00
,"Time to confess: 

Media reports saying that @DOGE has some of world’s best software engineers are in fact true.",235991,24985,2025-02-03 16:55:33+00:00
,Wow https://t.co/AJQ83KmBr4,103526,21499,2025-02-03 16:52:42+00:00
,RT @realDonaldTrump: https://t.co/DC5Mx8yCiB,0,52492,2025-02-03 16:52:14+00:00
,Excellent action by @RepMTG! https://t.co/h8DPjDLo0f,55506,11758,2025-02-03 16:51:38+00:00
,@Jason @dylanmatt Exactly,1006,40,2025-02-03 16:50:40+00:00
,"Thank you, receipt via 𝕏 acknowledged. https://t.co/aYo0OsyFVE",78512,13038,2025-02-03 16:49:47+00:00
,RT @JackPosobiec: Federal workers actively stating they are declaring ‘war’ on the Trump Admin from within the govt https://t.co/DO6kWGhrQK,0,13149,2025-02-03 16:48:00+00:00
,@gbensouss C'est fou!,5330,358,2025-02-03 16:46:01+00:00
,"Yeah, exactly! The only way to stop fraud and waste of taxpayer money is to follow the payment flows and pause suspicious transactions for review. Obviously.

Naturally, this causes those who have been aiding, abetting and receiving fraudulent payments very upset. 

Too bad. https://t.co/43LV3TysJs",97360,17607,2025-02-03 16:43:11+00:00
